name,category,dong,road,bonbu,address,2010,2015,2017
BOLLO,카페,부산광역시 부산진구 전포동,전포대로,686-3,부산광역시 부산진구 전포동 686-3,2400000,2710000,3190000
도쿄맨션,레스토랑,부산광역시 부산진구 전포동,서전로,685-10,부산광역시 부산진구 전포동 685-10,1270000,1534000,1804000
노쎄,레스토랑,부산광역시 부산진구 전포동,서전로,685-10,부산광역시 부산진구 전포동 685-10,1270000,1534000,1804000
도쿄가다,레스토랑,부산광역시 부산진구 전포동,전포대로,684-4,부산광역시 부산진구 전포동 684-4,1330000,1612000,1895000
뚜아루즈,레스토랑,부산광역시 부산진구 전포동,전포대로,687-3,부산광역시 부산진구 전포동 687-3,1290000,1571000,1845000
베이커스,베이커리,부산광역시 부산진구 전포동,전포대로,687-9,부산광역시 부산진구 전포동 687-9,1310000,1589000,1866000
오브젝트,가게,부산광역시 부산진구 전포동,전포대로,687-8,부산광역시 부산진구 전포동 687-8,1310000,1589000,1866000
에스파스,카페,부산광역시 부산진구 전포동,전포대로,677-9,부산광역시 부산진구 전포동 677-9,1310000,1589000,1866000
지논,쇼핑,부산광역시 부산진구 전포동,서전로,680-18,부산광역시 부산진구 전포동 680-18,1280000,1550000,1820000
유달리,카페,부산광역시 부산진구 전포동,서전로,677-16,부산광역시 부산진구 전포동 677-16,1380000,1673000,1964000
도쿄빙수,디저트,부산광역시 부산진구 전포동,전포대로,677-16,부산광역시 부산진구 전포동 677-16,1380000,1673000,1964000
샹티크,카페,부산광역시 부산진구 전포동,전포대로,649-2,부산광역시 부산진구 전포동 649-2,1360000,1630000,1910000
PLAYA,레스토랑,부산광역시 부산진구 전포동,서전로,690-2,부산광역시 부산진구 전포동 690-2,1460000,1858000,2177000
마마돈,레스토랑,부산광역시 부산진구 전포동,서전로,685-1,부산광역시 부산진구 전포동 685-1,1380000,1750000,2050000
그가만든 크레페,카페,부산광역시 부산진구 전포동,서전로,687-25,부산광역시 부산진구 전포동 687-25,1090000,1336000,1564000
도쿄그집,레스토랑,부산광역시 부산진구 전포동,전포대로,687-15,부산광역시 부산진구 전포동 687-15,1110000,1350000,1580000
카페더맨션,카페,부산광역시 부산진구 전포동,서전로,687-19,부산광역시 부산진구 전포동 687-19,1110000,1350000,1580000
르비쥬,메이크업,부산광역시 부산진구 전포동,서전로,687-6,부산광역시 부산진구 전포동 687-6,1350000,1714000,2006000
전포성당,성당,부산광역시 부산진구 전포동,서전로,687-21,부산광역시 부산진구 전포동 687-21,1210000,1474000,1725000
시부야1993,레스토랑,부산광역시 부산진구 전포동,서전로,686-1,부산광역시 부산진구 전포동 686-1,2590000,2862000,3337000
숩65,레스토랑,부산광역시 부산진구 전포동,전포대로,684-5,부산광역시 부산진구 전포동 684-5,1150000,1369000,1596000
에프엠커피하우스,카페,부산광역시 부산진구 전포동,전포대로,685-11,부산광역시 부산진구 전포동 685-11,2580000,2937000,3423000
로망34,카페,부산광역시 부산진구 전포동,전포대로,685-6,부산광역시 부산진구 전포동 685-6,2400000,2720000,3170000
빈티지38,카페,부산광역시 부산진구 전포동,전포대로,685-7,부산광역시 부산진구 전포동 685-7,2560000,2910000,3391000
녘,레스토랑,부산광역시 부산진구 전포동,전포대로,687-11,부산광역시 부산진구 전포동 687-11,870000,1030000,1200000
싸가지,레스토랑,부산광역시 부산진구 전포동,서전로,687-24,부산광역시 부산진구 전포동 687-24,1530000,1842000,2143000
달달,카페,부산광역시 부산진구 전포동,전포대로,687-1,부산광역시 부산진구 전포동 687-1,1630000,1960000,2280000
커피스미스,카페,부산광역시 부산진구 전포동,전포대로,687-20,부산광역시 부산진구 전포동 687-20,1540000,1862000,2166000
카페 이든,카페,부산광역시 부산진구 전포동,전포대로,361-9,부산광역시 부산진구 전포동 361-9,770000,920000,1060000
로스노비오스,카페,부산광역시 부산진구 전포동,서전로,680-8,부산광역시 부산진구 전포동 680-8,1120000,1367000,1571000
카페3002,카페,부산광역시 부산진구 전포동,서전로,680-8,부산광역시 부산진구 전포동 680-8,1120000,1367000,1571000
디노브런치,카페,부산광역시 부산진구 전포동,전포대로,686-5,부산광역시 부산진구 전포동 686-5,2590000,2899000,3190000
Cafe cozy container,카페,부산광역시 부산진구 전포동,서전로,680-5,부산광역시 부산진구 전포동 680-5,1150000,1398000,1641000
Lovesome coffee,카페,부산광역시 부산진구 전포동,서전로,680-20,부산광역시 부산진구 전포동 680-20,1150000,1398000,1641000
